name,median,units,distribution,dist_param1,dist_param2,lower_bound,upper_bound
PARAM_TCELL_LIFESPAN_SD,10,,lognormal,2.302585,0.4,,
PARAM_TCELL_DIV_LIMIT,4,,lognormal,1.386294,0.7,,
PARAM_TCELL_MOVE_STEPS,64,,lognormal,4.158883,0.7,,
PARAM_TCELL_IL2_RELEASE_TIME,86400,,lognormal,11.366743,0.7,,
PARAM_TCELL_IL2_COMMIT_TIME,28800,,lognormal,10.268131,0.7,,
PARAM_TCELL_HYPOXIA_TH,0.01,,lognormal,-4.605170,0.7,,
PARAM_TCELL_HYPOXIA_TIER1,10,,lognormal,2.302585,0.7,,
PARAM_TCELL_HYPOXIA_TIER2,30,,lognormal,3.401197,0.7,,
PARAM_TCELL_HYPOXIA_RECOVERY,1,,lognormal,0.000000,0.7,,
PARAM_TCELL_HYPOXIA_FACTOR1,0.7,,uniform,0.35,1,0.35,1
PARAM_TCELL_HYPOXIA_FACTOR2,0.4,,uniform,0.2,0.6,0.2,0.6
PARAM_TCELL_HYPOXIA_FACTOR3,0.12,,uniform,0.06,0.18,0.06,0.18
PARAM_TCELL_EFF_TO_CYT_RATE,1e-6,1/s,lognormal,-13.815511,0.7,,
PARAM_TCD4_LIFESPAN_SD,10,,lognormal,2.302585,0.4,,
PARAM_TCD4_TGFB_RELEASE_TIME,705000,,lognormal,13.465953,0.7,,
PARAM_TCD4_DIV_LIMIT,4,,lognormal,1.386294,0.7,,
PARAM_TFH_DIFF_K,0.078,,lognormal,-2.551046,0.7,,
PARAM_TFH_EC50_IL6,0.46,,lognormal,-0.776529,0.7,,
PARAM_TFH_CXCL13_RELEASE,4.97e-11,,lognormal,-23.725016,0.7,,
PARAM_MDSC_LIFESPAN_SD,1,,lognormal,0.000000,0.4,,
PARAM_MDSC_MOVE_STEPS,71,,lognormal,4.262680,0.7,,
PARAM_BCELL_LIFE_MEAN,60,,lognormal,4.094345,0.4,,
PARAM_BCELL_LIFE_SD,10,,lognormal,2.302585,0.7,,
