name,median,units,distribution,dist_param1,dist_param2,lower_bound,upper_bound
k_Treg_pro,0.05,1/day,lognormal,-2.995732273553991,0.7,,
k_Treg_death,0.1,1/day,lognormal,-2.3025850929940455,0.5,,
k_Treg_pro_tumor,0.2,1/day,lognormal,-1.6094379124341005,0.7,,
rho_Treg_max,10000000.0,cell/milliliter,lognormal,16.11809565095832,1.0,,
q_CD8_T_in,5.8e-05,1/(centimeter^3*minute),lognormal,-9.755067547417855,2.0,,
q_Treg_T_in,5.8e-05,1/(centimeter^3*minute),lognormal,-9.755067547417855,0.7,,
k_TGFb_Tsec,1.2e-10,nanomole/cell/day,lognormal,-22.843529373146502,0.7,,
k_CCL2_sec,2e-10,nanomole/cell/day,lognormal,-22.33270374938051,0.7,,
k_MDSC_rec,35000.0,cell/(milliliter*day),lognormal,10.46310334047155,0.7,,
k_Mac_rec,450000.0,cell/(milliliter*day),lognormal,13.017002861746503,0.7,,
k_M2_pol,0.1,1/day,lognormal,-2.3025850929940455,1.0,,
k_M1_pol,0.045,1/day,lognormal,-3.101092789211817,1.0,,
k_C_CD8_exh,0.1,1/day,lognormal,-2.3025850929940455,1.0,,
k_stiff_CD8_exh,0.02,1/day,lognormal,-3.912023005428146,1.0,,
k_C1_growth,0.01,1/day,lognormal,-4.605170185988091,0.7,,
K_initial,10300.0,cell,lognormal,9.239899174217728,0.7,,
initial_tumour_diameter,3.2,centimeter,lognormal,1.1631508098056809,0.31,,
N_IL2_CD4,8.5,dimensionless,lognormal,2.1400661634962708,0.5,,
N_IL2_CD8,11.0,dimensionless,lognormal,2.3978952727983707,0.5,,
n_CD8_clones,30.0,dimensionless,lognormal,3.4011973816621555,1.0,,
n_CD4_clones,30.0,dimensionless,lognormal,3.4011973816621555,1.0,,
phi_col_50_Kmax,2.0,dimensionless,lognormal,0.6931471805599453,0.7,,
k_col_myCAF_sec,5e-08,milligram/(cell*day),lognormal,-16.811242831518268,1.0,,
f_col_basal,0.15,dimensionless,lognormal,-1.8971199848858813,0.5,,
k_PSC_to_myCAF,0.2,1/day,lognormal,-1.6094379124341005,1.0,,
k_PSC_to_iCAF,0.2,1/day,lognormal,-1.6094379124341005,1.0,,
k_PSC_to_apCAF,0.05,1/day,lognormal,-2.995732273553991,1.0,,
phi_col_ref,0.046,dimensionless,lognormal,-3.0791255657504113,0.5,,
rho_collagen,0.103,gram/milliliter,lognormal,-2.2729596288869075,0.7,,
d_pore_ref,3.5,micrometer,lognormal,1.252762968495368,0.5,,
n_pore,4.0,dimensionless,lognormal,1.3862943611198906,0.5,,
d_crit_T,2.3,micrometer,lognormal,0.8329091229351039,0.5,,
E_ref,1.0,dimensionless,lognormal,0.0,0.5,,
n_stiff,1.8,dimensionless,lognormal,0.5877866649021191,0.5,,
E_50_Texh,4.0,dimensionless,lognormal,1.3862943611198906,0.7,,
n_Texh,1.0,dimensionless,lognormal,0.0,0.5,,
E_50_fib,5.0,dimensionless,lognormal,1.6094379124341005,0.7,,
n_fib,1.0,dimensionless,lognormal,0.0,0.5,,
k_col_deg,0.007,1/day,lognormal,-4.961845129926823,1.2,,
k_MMP_M2,1e-08,milliliter/(cell*day),lognormal,-18.420680743952367,1.2,,
phi_cross_50,0.03,dimensionless,lognormal,-3.506557897319982,2.0,,
K_stiff_niche,100000.0,cell,lognormal,11.512925464970229,1.0,,
k_qpsc_death,0.005,1/day,lognormal,-5.298317366548036,0.5,,
k_iCAF_death,0.05,1/day,lognormal,-2.995732273553991,0.7,,
k_myCAF_death,0.015,1/day,lognormal,-4.199705077879927,0.7,,
k_apCAF_death,0.03,1/day,lognormal,-3.506557897319982,0.7,,
R50_Treg,0.31,dimensionless,lognormal,-1.171182981502945,1.0,,
k_CAF_encounter,1000000.0,cell/(milliliter*day),lognormal,13.815510557964274,1.0,,
k_CAF_const,2000000.0,cell/milliliter,lognormal,14.50865773852422,1.0,,
k_vas_Csec,0.1,picogram/cell/day,lognormal,-2.302585092994046,0.7,,
k_vas_deg,16.6,1/day,lognormal,2.8094026953624978,0.5,,
VEGF_50,2410.0,picogram/milliliter,lognormal,7.787382026484701,0.7,,
k_CD8_pro,1.0,1/day,lognormal,0.0,0.5,,
k_CD8_death,0.1,1/day,lognormal,-2.3025850929940455,0.5,,
k_TGFb_sec_myCAF,2e-10,nanomolarity*liter/(cell*day),lognormal,-22.332703711532738,1.0,,
TGFb_baseline,0.016,nanomolarity,lognormal,-4.135166556742356,0.7,,
k_CCL2_deg,0.06,1/hour,lognormal,-2.8134107167600364,0.5,,
k_C1_death,0.003,1/day,lognormal,-5.809142990314028,0.7,,
k_Th_to_Treg,0.022,1/day,lognormal,-3.816712825623821,0.7,,
k_MDSC_death,0.07,1/day,lognormal,-2.659260036932778,0.7,,
cDC1_recruit_target_T,50000.0,cell/milliliter,lognormal,10.819778284410283,2.0,,
cDC2_recruit_target_T,200000.0,cell/milliliter,lognormal,12.206072645530174,2.0,,
APC0_cDC1_LN,240000.0,cell/milliliter,lognormal,12.388394202324127,0.7,,
APC0_cDC2_LN,960000.0,cell/milliliter,lognormal,13.77468856344402,0.7,,
k_APC_mat_cDC1,2.0,1/day,lognormal,0.6931471805599453,0.7,,
k_APC_mat_cDC2,1.5,1/day,lognormal,0.4054651081081644,0.7,,
DAMP_50,10000.0,cell/day,lognormal,9.210340371976184,1.0,,
TGFb_50_APC,0.07,nanomolarity,lognormal,-2.659260036932778,0.7,,
k_IL6_sec_iCAF,2e-11,nanomolarity*liter/(cell*day),lognormal,-24.635288842374557,0.7,,
k_Mac_death,0.05,1/day,lognormal,-2.995732273553991,0.7,,
k_Treg_act,5.0,1/day,lognormal,1.6094379124341005,1.0,,
CCL2_50,0.23,nanomolarity,lognormal,-1.4696759700589417,0.7,,
TGFb_50,0.07,nanomolarity,lognormal,-2.659260036932778,0.7,,
k_APC_mig,4.0,1/day,lognormal,1.3862943611198906,0.7,,
k_Th_act,10.0,1/day,lognormal,2.302585092994046,0.7,,
EC50_GMCSF,0.0029400504281744,nanomolarity,lognormal,-5.829328545338357,0.7,,
r_PDL1_IFNg,6.0,dimensionless,lognormal,1.791759469228055,0.7,,
k_IFNg_deg,7.68,1/day,lognormal,2.038619547159581,0.5,,
k_IFNg_response,0.2,1/picomolarity,lognormal,-1.6094379124341003,1.0,,
k_IL2_sec,1e-11,nanomole/cell/hour,lognormal,-25.33,1.0,,
k_IL2_deg,0.0907984488525718,1/minute,lognormal,-2.3991130766422635,0.7689642851757794,,
IL2_50_Treg,0.01,nanomolarity,lognormal,-4.605170185988091,0.5,,
k_IL10_sec,3e-12,nanomole/cell/day,lognormal,-26.53240882726044,1.8,,
IL10_50,8.0,picomolarity,lognormal,2.0794415416798357,0.7,,
k_CD4_pro,1.0,1/day,lognormal,0.0,0.5,,
k_CD4_death,0.1,1/day,lognormal,-2.3025850929940455,0.5,,
k_M1_phago,0.33,1/day,lognormal,-1.1086626245216111,0.7,,
k_myCAF_prolif,0.15,1/day,lognormal,-1.8971199848858813,1.0,,
k_iCAF_prolif,0.1,1/day,lognormal,-2.302585092994046,1.0,,
k_apCAF_prolif,0.05,1/day,lognormal,-2.995732273553991,1.0,,
k_TGFb_Msec,2e-11,nanomole/cell/day,lognormal,-24.635288842374557,0.7,,
k_Treg_CD8_exh,0.1,1/day,lognormal,-2.3025850929940455,1.0,,
TGFb_50_Teff,0.14,nanomolarity,lognormal,-1.9661128563728327,0.7,,
K_M1_phago,2.0,dimensionless,lognormal,0.6931471805599453,1.0,,
k_IL12_sec,8.5e-12,nanomole/cell/day,lognormal,-25.49095495243228,0.7,,
k_IL12_Msec,5e-13,nanomole/cell/day,lognormal,-28.324168296488494,0.7,,
k_CXCL12_sec_iCAF,1e-10,nanomolarity*liter/(cell*day),lognormal,-23.025850929940457,1.2,,
CXCL12_50_Texcl,2.0,nanomolarity,lognormal,0.6931471805599453,1.2,,
k_cell_clear,0.1,1/day,lognormal,-2.3025850929940455,1.0,,
N_div_base,2.0,dimensionless,lognormal,0.6931471805599453,0.5,,
N_div_costim,3.0,dimensionless,lognormal,1.0986122886681098,0.5,,
k_IL2_cons,5e-11,nanomole/cell/hour,lognormal,-23.719468613116373,1.5,,
IL2_50,0.32,nanomolarity,lognormal,-1.1394342831883648,0.5,,
Q_nCD8_thym,3000000.0,cell/day,lognormal,14.914122846632385,1.0,,
k_mAPC_death,0.3,1/day,lognormal,-1.203972804325936,0.5,,
k_NO_sec,4.8e-07,nanomole/cell/day,lognormal,-14.549479733044477,0.7,,
k_ArgI_sec,1.1e-10,nanomole/cell/day,lognormal,-22.93054075013613,0.7,,
ArgI_50_Teff,50,nanomolarity,lognormal,3.9120230054281460,1.0,,
NO_50_Teff,1500,nanomolarity,lognormal,7.3132203871,1.5,,
ArgI_50_Treg,0.36,nanomolarity,lognormal,-1.0216512475319814,1.0,,
k_IFNg_Tsec,2e-13,nanomole/cell/day,lognormal,-29.23643667790698,0.7,,
k_vas_growth,0.15,1/day,lognormal,-1.8971199848858813,1.0,,
k_vas_decay,0.004,1/day,lognormal,-5.521460917862246,1.0,,
K_C2_recruit,20200000.0,cell^2,lognormal,16.821193162371433,1.0,,
k_vas_Msec,0.05,picogram/cell/day,lognormal,-2.995732273553991,0.7,,
IL12_50,15.0,picomolarity,lognormal,2.70805020110221,0.7,,
IL6_50_MDSC,0.015,nanomolarity,lognormal,-4.1997,0.7,,
IL6_50_M2,0.015,nanomolarity,lognormal,-4.1997,0.7,,
k_vas_myCAF_sec,0.002,picogram/(cell*day),lognormal,-6.214608098422191,1.0,,
k_GVAX_clearance,0.1,1/day,lognormal,-2.3025850929940455,1.0,,
k_GMCSF_prod,1e-08,nanomolarity/cell/day,lognormal,-18.420680743952367,1.0,,
k_GMCSF_deg,5.0,1/day,lognormal,1.6094379124341005,0.5,,
k_APC_recruit_ID,100000.0,cell/day,lognormal,11.512925464970229,1.0,,
k_APC_mature_ID,2.7280598629067656,1/day,lognormal,1.0035906836212314,0.7,,
EC50_P1_mature,0.1,nanomolarity,lognormal,-2.3025850929940455,1.0,,
k_APC_mig_ID_LN,0.7,1/day,lognormal,-0.3566749439387324,1.0,,
K_APC_mig,100000.0,cell,lognormal,11.512925464970229,1.0,,
y_Ag_per_cell,1e-09,nanomole/cell,lognormal,-20.72326583694641,1.5,,
k_P1_deg_ID,10.0,1/day,lognormal,2.302585092994046,1.0,,
k_Cy_clear,2.5,1/day,lognormal,0.9162907318741551,0.5,,
k_Cy_Treg_deplete,0.15,1/day,lognormal,-1.8971199848858813,1.0,,
Cy_50_Treg,50.0,milligram,lognormal,3.912023005428146,0.7,,
k_T_activation_per_APC,1e-06,1/(day*cell),lognormal,-13.815510557964274,1.5,,
n_T_expansion_burst,800.0,dimensionless,lognormal,6.684611727667927,0.7,,
v_T_search_volume,1e-06,millimeter^3/day,lognormal,-13.815510557964274,1.5,,
p_T_kill_per_contact,0.45,dimensionless,lognormal,-0.7985076962177716,0.7,,
k_CD8_basal_exh,0.05,1/day,lognormal,-2.995732273553991,1.0,,
K_C_exh,100000000.0,cell,lognormal,18.420680743952367,1.0,,
q_nCD8_LN_in,0.076,1/day,lognormal,-2.5770909129822535,0.5,,
q_nCD8_P_out,5.1,1/day,lognormal,1.6292405397348104,0.5,,
k_APC_recruit0,100.0,cell/day,lognormal,4.605170185988092,1.0,,
CD28_CD8X_50,200.0,molecule/micrometer^2,lognormal,5.298317366548036,1.0,,
k_APC_death,0.15,1/day,lognormal,-1.8971199848858813,0.7,,
