donor,region,roi,n_cells,unknown_frac,other_immune_frac,unresolved_frac
HPAP-011,Head of pancreas,ROI2,570,0.0,0.0,0.0
HPAP-011,Head of pancreas,ROI3,675,0.0,0.0,0.0
HPAP-011,Head of pancreas,ROI1,785,0.0,0.0,0.0
HPAP-042,Body of pancreas,ROI2,1914,0.0,0.0,0.0
HPAP-026,Head of pancreas,ROI1,493,0.0,0.006085192697768763,0.006085192697768763
HPAP-075,Body of pancreas,ROI3,4915,0.0,0.008341810783316379,0.008341810783316379
HPAP-075,Body of pancreas,ROI1,5218,0.0,0.00843234955921809,0.00843234955921809
HPAP-075,Body of pancreas,ROI4,4888,0.0,0.009615384615384616,0.009615384615384616
HPAP-067,Head of pancreas,ROI1,3748,0.0,0.010138740661686232,0.010138740661686232
HPAP-005,Tail of pancreas,ROI2,356,0.0,0.014044943820224719,0.014044943820224719
HPAP-080,Tail of pancreas,ROI3,4916,0.0,0.015866558177379985,0.015866558177379985
HPAP-012,Body of pancreas,ROI3,2035,0.0,0.021621621621621623,0.021621621621621623
HPAP-067,Body of pancreas,ROI3,4108,0.0,0.022151898734177215,0.022151898734177215
HPAP-080,Tail of pancreas,ROI2,8870,0.0,0.028974069898534384,0.028974069898534384
HPAP-026,Tail of pancreas,ROI2,1682,0.0,0.03032104637336504,0.03032104637336504
HPAP-118,Body of pancreas,ROI3,2810,0.021708185053380784,0.01494661921708185,0.03665480427046264
HPAP-035,Tail of pancreas,ROI2,1223,0.0,0.04088307440719542,0.04088307440719542
HPAP-146,Body of pancreas,ROI2,4347,0.0,0.04830917874396135,0.04830917874396135
HPAP-011,Body of pancreas,ROI1,453,0.0,0.052980132450331126,0.052980132450331126
HPAP-059,Head of pancreas,ROI2,4692,0.0,0.057971014492753624,0.057971014492753624
HPAP-067,Head of pancreas,ROI2,4278,0.0,0.07082748948106592,0.07082748948106592
HPAP-080,Head of pancreas,ROI3,4779,0.07281858129315756,0.0,0.07281858129315756
HPAP-011,Body of pancreas,ROI3,361,0.0,0.07479224376731301,0.07479224376731301
HPAP-039,Head of pancreas,ROI4,2529,0.0,0.07829181494661921,0.07829181494661921
HPAP-066,Head of pancreas,ROI3,3676,0.07970620239390643,0.000544069640914037,0.08025027203482046
HPAP-039,Body of pancreas,ROI3,3565,0.0,0.08387096774193549,0.08387096774193549
HPAP-059,Head of pancreas,ROI4,7110,0.0,0.08452883263009846,0.08452883263009846
HPAP-027,Head of pancreas,ROI2,990,0.0,0.08484848484848485,0.08484848484848485
HPAP-080,Head of pancreas,ROI1,4927,0.0,0.09153643190582504,0.09153643190582504
HPAP-066,Head of pancreas,ROI5,4864,0.0859375,0.009868421052631578,0.09580592105263158
HPAP-080,Tail of pancreas,ROI1,9414,0.0,0.09878903760356915,0.09878903760356915
HPAP-066,Head of pancreas,ROI4,4787,0.09860037601838312,0.004177982034677251,0.10277835805306038
HPAP-082,Tail of pancreas,ROI1,4044,0.0,0.10311572700296735,0.10311572700296735
HPAP-066,Tail of pancreas,ROI3,4154,0.0,0.10760712566201251,0.10760712566201251
HPAP-082,Head of pancreas,ROI1,4256,0.0881109022556391,0.021146616541353382,0.10925751879699248
HPAP-063,Body of pancreas,ROI1,2544,0.0,0.11477987421383648,0.11477987421383648
HPAP-063,Tail of pancreas,ROI1,2698,0.052260934025203855,0.06300963676797627,0.11527057079318012
HPAP-095,Head of pancreas,ROI1,3919,0.0,0.1166113804541975,0.1166113804541975
HPAP-011,Tail of pancreas,ROI1,661,0.0,0.11800302571860817,0.11800302571860817
HPAP-011,Tail of pancreas,ROI2,919,0.0,0.11860718171926006,0.11860718171926006
HPAP-066,Tail of pancreas,ROI5,4386,0.0,0.12859097127222982,0.12859097127222982
HPAP-042,Body of pancreas,ROI1,2583,0.0,0.129694154084398,0.129694154084398
HPAP-056,Body of pancreas,ROI2,3687,0.0,0.13235692975318689,0.13235692975318689
HPAP-014,Tail of pancreas,ROI3,771,0.0,0.1569390402075227,0.1569390402075227
HPAP-035,Tail of pancreas,ROI1,773,0.0,0.16170763260025872,0.16170763260025872
HPAP-011,Body of pancreas,ROI2,346,0.0,0.16184971098265896,0.16184971098265896
HPAP-067,Tail of pancreas,ROI1,2303,0.0,0.16630481980026052,0.16630481980026052
HPAP-118,Body of pancreas,ROI2,3302,0.11053906723198062,0.05723803755299818,0.16777710478497881
HPAP-035,Tail of pancreas,ROI3,1286,0.0,0.17107309486780714,0.17107309486780714
HPAP-012,Head of pancreas,ROI2,1600,0.185,0.0,0.185
HPAP-056,Body of pancreas,ROI5,2679,0.0,0.18887644643523702,0.18887644643523702
HPAP-066,Tail of pancreas,ROI2,3568,0.0,0.1922645739910314,0.1922645739910314
