donor,region,roi,n_cells_total,area_mm2,density_cd4_t,density_cd8_t,density_b_cell,density_macrophage,density_mdsc,density_other_immune,density_fibroblast,density_endothelial,has_septa,nn_cd4_t_to_cd4_t,nn_cd4_t_to_cd8_t,nn_cd4_t_to_b_cell,nn_cd4_t_to_macrophage,nn_cd4_t_to_other_immune,nn_cd8_t_to_cd4_t,nn_cd8_t_to_cd8_t,nn_cd8_t_to_b_cell,nn_cd8_t_to_macrophage,nn_cd8_t_to_other_immune,nn_b_cell_to_cd4_t,nn_b_cell_to_cd8_t,nn_b_cell_to_b_cell,nn_b_cell_to_macrophage,nn_b_cell_to_other_immune,nn_macrophage_to_cd4_t,nn_macrophage_to_cd8_t,nn_macrophage_to_b_cell,nn_macrophage_to_macrophage,nn_macrophage_to_other_immune,nn_other_immune_to_cd4_t,nn_other_immune_to_cd8_t,nn_other_immune_to_b_cell,nn_other_immune_to_macrophage,nn_other_immune_to_other_immune,nn_cd4_t_to_mdsc,nn_cd8_t_to_mdsc,nn_b_cell_to_mdsc,nn_macrophage_to_mdsc,nn_mdsc_to_cd4_t,nn_mdsc_to_cd8_t,nn_mdsc_to_b_cell,nn_mdsc_to_macrophage,nn_mdsc_to_mdsc,nn_mdsc_to_other_immune,nn_other_immune_to_mdsc,nn_cd4_t_to_fibroblast,nn_cd8_t_to_fibroblast,nn_b_cell_to_fibroblast,nn_macrophage_to_fibroblast,nn_other_immune_to_fibroblast,nn_fibroblast_to_cd4_t,nn_fibroblast_to_cd8_t,nn_fibroblast_to_b_cell,nn_fibroblast_to_macrophage,nn_fibroblast_to_other_immune,nn_fibroblast_to_fibroblast,septa_p25_cd4_t,septa_p50_cd4_t,septa_p75_cd4_t,septa_p25_cd8_t,septa_p50_cd8_t,septa_p75_cd8_t,septa_p25_b_cell,septa_p50_b_cell,septa_p75_b_cell,septa_p25_macrophage,septa_p50_macrophage,septa_p75_macrophage,septa_p25_other_immune,septa_p50_other_immune,septa_p75_other_immune,septa_p25_mdsc,septa_p50_mdsc,septa_p75_mdsc,septa_p25_endothelial,septa_p50_endothelial,septa_p75_endothelial,nn_cd4_t_to_endothelial,nn_cd8_t_to_endothelial,nn_b_cell_to_endothelial,nn_macrophage_to_endothelial,nn_other_immune_to_endothelial,nn_endothelial_to_cd4_t,nn_endothelial_to_cd8_t,nn_endothelial_to_b_cell,nn_endothelial_to_macrophage,nn_endothelial_to_other_immune,nn_endothelial_to_endothelial,nn_mdsc_to_endothelial,nn_endothelial_to_mdsc,septa_p25_fibroblast,septa_p50_fibroblast,septa_p75_fibroblast,nn_mdsc_to_fibroblast,nn_fibroblast_to_mdsc,nn_fibroblast_to_endothelial,nn_endothelial_to_fibroblast
HPAP-004,Body of pancreas,ROI1,4895,0.9939,6.04,23.14,5.03,156.95,0.0,2355.25,0.0,0.0,False,202.3,118.7,362.3,56.9,9.1,254.5,153.8,178.5,25.8,12.6,247.9,90.1,283.8,46.8,8.7,253.2,80.4,185.2,25.2,12.3,211.2,103.9,218.5,43.5,11.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HPAP-004,Body of pancreas,ROI3,4681,0.9943,5.03,22.13,9.05,76.43,4.02,2857.17,0.0,0.0,False,270.1,137.7,163.9,45.3,13.5,206.6,94.1,128.3,68.4,10.7,83.7,71.0,113.7,38.1,10.6,189.1,111.3,156.9,20.6,10.1,237.8,113.1,177.9,77.3,10.8,316.7,284.6,303.1,281.9,255.9,139.3,238.0,85.7,293.3,11.2,219.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HPAP-004,Body of pancreas,ROI4,4531,0.9977,4.01,26.06,14.03,129.3,1.0,2354.49,91.21,0.0,False,196.3,163.8,95.0,56.2,14.9,259.5,65.2,154.2,40.7,13.1,304.9,109.7,130.5,57.6,12.3,270.2,92.9,157.6,26.9,12.9,294.0,103.8,131.5,48.1,11.4,,,,,,,,,,,,24.9,62.1,74.7,62.4,45.0,296.2,117.8,136.4,53.8,11.3,62.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HPAP-004,Head of pancreas,ROI1,2276,0.995,3.02,282.41,6.03,72.36,1.01,1059.29,677.38,0.0,False,245.6,26.9,121.9,31.3,11.9,192.6,17.0,143.2,37.3,12.0,176.0,29.6,175.8,38.0,18.3,219.1,22.6,123.5,34.0,13.8,218.1,23.6,141.7,50.6,12.7,,,,,,,,,,,,14.9,52.6,15.8,27.9,28.7,296.0,74.5,232.0,94.9,19.1,13.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HPAP-004,Head of pancreas,ROI2,3369,0.9931,11.08,47.33,4.03,133.92,1.01,1401.63,0.0,0.0,True,51.6,48.7,450.4,15.6,15.0,127.8,60.5,409.0,31.2,12.1,107.8,10.1,80.9,29.1,13.9,93.9,45.3,421.2,23.6,12.7,169.9,70.4,406.0,47.6,11.1,,,,,,,,,,,,,,,,,,,,,,,6.0,15.6,75.5,27.8,76.6,170.0,51.2,127.1,198.7,15.8,61.3,141.3,56.3,119.1,194.8,,,,,,,,,,,,,,,,,,,,,,,,,,
HPAP-004,Head of pancreas,ROI3,3090,0.9916,5.04,422.54,36.3,166.4,6.05,1290.82,0.0,0.0,True,98.9,41.5,75.1,14.2,13.9,216.4,17.7,76.4,39.6,13.0,225.1,21.3,84.3,42.2,13.4,220.4,23.7,78.3,22.9,14.6,224.7,22.1,81.3,39.8,13.0,84.8,225.0,194.4,208.9,132.1,20.5,79.5,62.6,131.7,17.2,220.9,,,,,,,,,,,,180.7,278.8,338.1,189.9,304.3,403.2,147.7,248.6,369.3,157.8,278.0,344.2,147.3,286.1,375.3,71.5,167.6,224.2,,,,,,,,,,,,,,,,,,,,,,,
HPAP-004,Tail of pancreas,ROI1,4588,0.9935,13.09,97.64,212.38,153.0,1.01,1658.8,0.0,118.77,True,108.0,32.0,55.9,28.3,12.0,143.4,41.1,46.0,40.9,13.5,136.2,53.7,16.6,46.6,12.4,124.7,53.1,54.6,33.8,13.6,134.4,54.9,50.7,41.4,12.5,,,,,,,,,,,,,,,,,,,,,,,155.9,255.6,516.0,104.8,230.2,325.9,270.3,348.1,439.3,89.3,237.8,438.8,124.5,293.5,494.6,,,,307.5,405.1,479.1,250.7,309.4,21.7,269.1,215.3,143.9,50.2,14.8,48.9,14.0,12.4,,,,,,,,,
HPAP-004,Tail of pancreas,ROI2,3115,0.9932,5.03,15.1,38.26,50.34,0.0,1396.53,0.0,191.31,True,317.2,349.5,95.9,46.0,13.7,416.5,113.5,114.2,72.7,17.4,402.7,52.8,18.8,57.7,14.2,209.9,175.7,151.8,50.7,13.7,214.5,190.0,134.4,69.2,13.4,,,,,,,,,,,,,,,,,,,,,,,207.8,582.5,584.0,195.4,495.2,539.3,484.9,525.7,573.6,218.3,448.0,585.6,226.0,452.6,619.9,,,,288.9,469.0,530.8,56.5,62.5,16.8,85.4,72.5,184.2,223.0,59.3,75.0,14.9,12.3,,,,,,,,,
HPAP-004,Tail of pancreas,ROI3,3108,0.995,4.02,18.09,12.06,58.29,0.0,1477.4,0.0,569.85,False,205.4,213.0,115.0,61.6,15.6,294.8,101.8,136.6,76.2,13.9,188.9,116.6,108.5,47.9,12.4,224.9,139.5,179.2,42.2,12.7,259.8,131.4,168.4,85.6,12.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,53.4,73.8,28.1,50.6,78.0,175.5,142.6,130.8,86.1,33.1,11.5,,,,,,,,,
HPAP-005,Body of pancreas,ROI1,1673,0.9924,5.04,32.24,4.03,30.23,302.28,455.44,0.0,52.4,True,53.9,41.5,227.5,99.9,19.5,147.8,28.7,170.0,79.0,33.7,302.4,201.8,417.7,75.2,11.8,467.2,103.1,211.0,86.9,18.5,394.5,164.1,208.4,80.9,18.3,13.3,13.2,18.6,21.0,180.6,79.1,164.3,64.9,17.0,19.2,27.9,,,,,,,,,,,,37.1,61.3,79.6,7.7,15.1,59.8,47.0,172.7,291.1,119.3,175.0,312.6,74.1,149.3,241.9,25.5,102.4,225.2,116.0,148.3,180.8,194.8,311.6,87.7,113.5,117.3,440.2,226.4,217.5,88.4,36.7,17.7,150.8,56.6,,,,,,,
