donor,region,roi,subtype,r_um,L_minus_r
HPAP-004,Body of pancreas,ROI1,cd8_t,10,25.36
HPAP-004,Body of pancreas,ROI1,cd8_t,20,15.36
HPAP-004,Body of pancreas,ROI1,cd8_t,30,5.36
HPAP-004,Body of pancreas,ROI1,cd8_t,40,21.25
HPAP-004,Body of pancreas,ROI1,cd8_t,50,29.07
HPAP-004,Body of pancreas,ROI1,cd8_t,60,19.07
HPAP-004,Body of pancreas,ROI1,cd8_t,70,16.62
HPAP-004,Body of pancreas,ROI1,cd8_t,80,20.02
HPAP-004,Body of pancreas,ROI1,cd8_t,90,16.09
HPAP-004,Body of pancreas,ROI1,cd8_t,100,6.09
HPAP-004,Body of pancreas,ROI1,cd8_t,110,7.29
HPAP-004,Body of pancreas,ROI1,cd8_t,120,2.5
HPAP-004,Body of pancreas,ROI1,cd8_t,130,6.96
HPAP-004,Body of pancreas,ROI1,cd8_t,140,1.45
HPAP-004,Body of pancreas,ROI1,cd8_t,150,0.03
HPAP-004,Body of pancreas,ROI1,cd8_t,160,5.87
HPAP-004,Body of pancreas,ROI1,cd8_t,170,6.81
HPAP-004,Body of pancreas,ROI1,cd8_t,180,10.43
HPAP-004,Body of pancreas,ROI1,cd8_t,190,10.04
HPAP-004,Body of pancreas,ROI1,cd8_t,200,6.2
HPAP-004,Body of pancreas,ROI1,macrophage,10,0.23
HPAP-004,Body of pancreas,ROI1,macrophage,20,11.95
HPAP-004,Body of pancreas,ROI1,macrophage,30,18.26
HPAP-004,Body of pancreas,ROI1,macrophage,40,21.17
HPAP-004,Body of pancreas,ROI1,macrophage,50,26.22
HPAP-004,Body of pancreas,ROI1,macrophage,60,26.51
HPAP-004,Body of pancreas,ROI1,macrophage,70,29.06
HPAP-004,Body of pancreas,ROI1,macrophage,80,31.49
HPAP-004,Body of pancreas,ROI1,macrophage,90,33.2
HPAP-004,Body of pancreas,ROI1,macrophage,100,31.62
HPAP-004,Body of pancreas,ROI1,macrophage,110,32.23
HPAP-004,Body of pancreas,ROI1,macrophage,120,31.41
HPAP-004,Body of pancreas,ROI1,macrophage,130,30.88
HPAP-004,Body of pancreas,ROI1,macrophage,140,30.66
