donor,region,roi,has_septa,septa_p25_cd4_t,septa_p50_cd4_t,septa_p75_cd4_t,septa_p25_cd8_t,septa_p50_cd8_t,septa_p75_cd8_t,septa_p25_b_cell,septa_p50_b_cell,septa_p75_b_cell,septa_p25_macrophage,septa_p50_macrophage,septa_p75_macrophage,septa_p25_other_immune,septa_p50_other_immune,septa_p75_other_immune,septa_p25_mdsc,septa_p50_mdsc,septa_p75_mdsc,septa_p25_endothelial,septa_p50_endothelial,septa_p75_endothelial,septa_p25_fibroblast,septa_p50_fibroblast,septa_p75_fibroblast
HPAP-004,Body of pancreas,ROI1,False,,,,,,,,,,,,,,,,,,,,,,,,
HPAP-004,Body of pancreas,ROI3,False,,,,,,,,,,,,,,,,,,,,,,,,
HPAP-004,Body of pancreas,ROI4,False,,,,,,,,,,,,,,,,,,,,,,,,
HPAP-004,Head of pancreas,ROI1,False,,,,,,,,,,,,,,,,,,,,,,,,
HPAP-004,Head of pancreas,ROI2,True,6.0,15.6,75.5,27.8,76.6,170.0,51.2,127.1,198.7,15.8,61.3,141.3,56.3,119.1,194.8,,,,,,,,,
HPAP-004,Head of pancreas,ROI3,True,180.7,278.8,338.1,189.9,304.3,403.2,147.7,248.6,369.3,157.8,278.0,344.2,147.3,286.1,375.3,71.5,167.6,224.2,,,,,,
HPAP-004,Tail of pancreas,ROI1,True,155.9,255.6,516.0,104.8,230.2,325.9,270.3,348.1,439.3,89.3,237.8,438.8,124.5,293.5,494.6,,,,307.5,405.1,479.1,,,
HPAP-004,Tail of pancreas,ROI2,True,207.8,582.5,584.0,195.4,495.2,539.3,484.9,525.7,573.6,218.3,448.0,585.6,226.0,452.6,619.9,,,,288.9,469.0,530.8,,,
HPAP-004,Tail of pancreas,ROI3,False,,,,,,,,,,,,,,,,,,,,,,,,
HPAP-005,Body of pancreas,ROI1,True,37.1,61.3,79.6,7.7,15.1,59.8,47.0,172.7,291.1,119.3,175.0,312.6,74.1,149.3,241.9,25.5,102.4,225.2,116.0,148.3,180.8,,,
HPAP-005,Body of pancreas,ROI2,True,,,,48.9,54.6,125.4,,,,,,,60.4,107.8,174.6,69.0,123.4,186.0,33.1,94.0,165.1,,,
HPAP-005,Body of pancreas,ROI3,True,,,,,,,,,,81.2,133.8,240.3,63.6,120.1,193.0,52.9,109.6,172.6,47.2,113.3,184.6,,,
HPAP-005,Head of pancreas,ROI1,True,,,,281.1,370.9,389.8,253.6,330.2,381.4,95.6,245.9,382.9,162.0,291.8,420.8,163.0,310.8,452.9,,,,98.2,279.5,428.7
HPAP-005,Head of pancreas,ROI2,True,,,,125.2,132.9,168.7,178.5,208.0,234.0,55.2,190.6,244.4,115.7,193.0,276.5,149.5,216.1,276.7,242.3,302.5,356.3,,,
