cell_type,bin_left,bin_right,count
Endothelial,0.0,88.36163836163837,1
Endothelial,88.36163836163837,176.72327672327674,10
Endothelial,176.72327672327674,265.0849150849151,29
Endothelial,265.0849150849151,353.4465534465535,66
Endothelial,353.4465534465535,441.80819180819185,77
Endothelial,441.80819180819185,530.1698301698302,50
Endothelial,530.1698301698302,618.5314685314686,35
Endothelial,618.5314685314686,706.893106893107,14
Endothelial,706.893106893107,795.2547452547453,6
Endothelial,795.2547452547453,883.6163836163837,1
Endothelial,883.6163836163837,971.9780219780221,2
Endothelial,971.9780219780221,1060.3396603396604,1
Endothelial,1060.3396603396604,1148.7012987012988,1
Endothelial,1148.7012987012988,1237.0629370629372,1
Endothelial,1237.0629370629372,1325.4245754245756,1
Endothelial,1325.4245754245756,1413.786213786214,0
Endothelial,1413.786213786214,1502.1478521478523,0
Endothelial,1502.1478521478523,1590.5094905094907,0
Endothelial,1590.5094905094907,1678.871128871129,0
Endothelial,1678.871128871129,1767.2327672327674,0
Endothelial,1767.2327672327674,1855.5944055944058,1
Endothelial,1855.5944055944058,1943.9560439560441,0
Endothelial,1943.9560439560441,2032.3176823176825,0
Endothelial,2032.3176823176825,2120.679320679321,0
Endothelial,2120.679320679321,2209.040959040959,0
Endothelial,2209.040959040959,2297.4025974025976,1
Endothelial,2297.4025974025976,2385.764235764236,1
Endothelial,2385.764235764236,2474.1258741258744,0
Endothelial,2474.1258741258744,2562.4875124875125,0
Endothelial,2562.4875124875125,2650.849150849151,0
Endothelial,2650.849150849151,2739.2107892107897,0
Endothelial,2739.2107892107897,2827.572427572428,0
Endothelial,2827.572427572428,2915.934065934066,0
Endothelial,2915.934065934066,3004.2957042957046,0
Endothelial,3004.2957042957046,3092.657342657343,0
Endothelial,3092.657342657343,3181.0189810189813,0
Endothelial,3181.0189810189813,3269.3806193806195,0
Endothelial,3269.3806193806195,3357.742257742258,0
Endothelial,3357.742257742258,3446.1038961038967,0
Endothelial,3446.1038961038967,3534.465534465535,1
Fibroblast,0.0,67.3076923076923,30
Fibroblast,67.3076923076923,134.6153846153846,31
Fibroblast,134.6153846153846,201.9230769230769,21
Fibroblast,201.9230769230769,269.2307692307692,9
Fibroblast,269.2307692307692,336.53846153846155,7
Fibroblast,336.53846153846155,403.8461538461538,6
Fibroblast,403.8461538461538,471.15384615384613,6
Fibroblast,471.15384615384613,538.4615384615385,9
Fibroblast,538.4615384615385,605.7692307692307,7
Fibroblast,605.7692307692307,673.0769230769231,9
Fibroblast,673.0769230769231,740.3846153846154,9
Fibroblast,740.3846153846154,807.6923076923076,10
Fibroblast,807.6923076923076,875.0,18
Fibroblast,875.0,942.3076923076923,14
Fibroblast,942.3076923076923,1009.6153846153846,7
Fibroblast,1009.6153846153846,1076.923076923077,12
Fibroblast,1076.923076923077,1144.2307692307693,7
Fibroblast,1144.2307692307693,1211.5384615384614,11
Fibroblast,1211.5384615384614,1278.8461538461538,13
Fibroblast,1278.8461538461538,1346.1538461538462,9
Fibroblast,1346.1538461538462,1413.4615384615383,7
Fibroblast,1413.4615384615383,1480.7692307692307,7
Fibroblast,1480.7692307692307,1548.076923076923,3
Fibroblast,1548.076923076923,1615.3846153846152,5
Fibroblast,1615.3846153846152,1682.6923076923076,4
Fibroblast,1682.6923076923076,1750.0,6
Fibroblast,1750.0,1817.3076923076924,5
Fibroblast,1817.3076923076924,1884.6153846153845,1
Fibroblast,1884.6153846153845,1951.923076923077,1
Fibroblast,1951.923076923077,2019.2307692307693,1
Fibroblast,2019.2307692307693,2086.5384615384614,1
Fibroblast,2086.5384615384614,2153.846153846154,2
Fibroblast,2153.846153846154,2221.153846153846,1
Fibroblast,2221.153846153846,2288.4615384615386,3
Fibroblast,2288.4615384615386,2355.769230769231,1
Fibroblast,2355.769230769231,2423.076923076923,0
Fibroblast,2423.076923076923,2490.3846153846152,1
Fibroblast,2490.3846153846152,2557.6923076923076,2
Fibroblast,2557.6923076923076,2625.0,2
Fibroblast,2625.0,2692.3076923076924,1
Macrophage,0.0,30.3000303000303,38
Macrophage,30.3000303000303,60.6000606000606,55
Macrophage,60.6000606000606,90.9000909000909,42
Macrophage,90.9000909000909,121.2001212001212,35
Macrophage,121.2001212001212,151.5001515001515,20
Macrophage,151.5001515001515,181.8001818001818,20
Macrophage,181.8001818001818,212.1002121002121,19
Macrophage,212.1002121002121,242.4002424002424,17
Macrophage,242.4002424002424,272.7002727002727,9
Macrophage,272.7002727002727,303.000303000303,10
Macrophage,303.000303000303,333.3003333003333,8
Macrophage,333.3003333003333,363.6003636003636,2
Macrophage,363.6003636003636,393.9003939003939,2
Macrophage,393.9003939003939,424.2004242004242,3
Macrophage,424.2004242004242,454.5004545004545,3
Macrophage,454.5004545004545,484.8004848004848,0
Macrophage,484.8004848004848,515.1005151005152,1
Macrophage,515.1005151005152,545.4005454005454,3
Macrophage,545.4005454005454,575.7005757005757,0
Macrophage,575.7005757005757,606.000606000606,3
Macrophage,606.000606000606,636.3006363006364,1
Macrophage,636.3006363006364,666.6006666006666,0
Macrophage,666.6006666006666,696.9006969006969,2
Macrophage,696.9006969006969,727.2007272007272,1
Macrophage,727.2007272007272,757.5007575007576,0
Macrophage,757.5007575007576,787.8007878007878,0
Macrophage,787.8007878007878,818.1008181008181,1
Macrophage,818.1008181008181,848.4008484008484,0
Macrophage,848.4008484008484,878.7008787008788,1
Macrophage,878.7008787008788,909.000909000909,1
Macrophage,909.000909000909,939.3009393009393,1
Macrophage,939.3009393009393,969.6009696009696,0
Macrophage,969.6009696009696,999.900999901,0
Macrophage,999.900999901,1030.2010302010303,0
Macrophage,1030.2010302010303,1060.5010605010605,0
Macrophage,1060.5010605010605,1090.8010908010908,0
Macrophage,1090.8010908010908,1121.1011211011212,0
Macrophage,1121.1011211011212,1151.4011514011513,0
Macrophage,1151.4011514011513,1181.7011817011817,0
Macrophage,1181.7011817011817,1212.001212001212,1
CD8 T,0.0,6.34207240948814,36
CD8 T,6.34207240948814,12.68414481897628,10
CD8 T,12.68414481897628,19.02621722846442,15
CD8 T,19.02621722846442,25.36828963795256,10
CD8 T,25.36828963795256,31.7103620474407,27
CD8 T,31.7103620474407,38.05243445692884,19
CD8 T,38.05243445692884,44.39450686641698,30
CD8 T,44.39450686641698,50.73657927590512,20
CD8 T,50.73657927590512,57.07865168539326,26
CD8 T,57.07865168539326,63.4207240948814,16
CD8 T,63.4207240948814,69.76279650436955,10
CD8 T,69.76279650436955,76.10486891385769,17
CD8 T,76.10486891385769,82.44694132334583,14
CD8 T,82.44694132334583,88.78901373283396,8
CD8 T,88.78901373283396,95.1310861423221,7
CD8 T,95.1310861423221,101.47315855181024,0
CD8 T,101.47315855181024,107.81523096129838,6
CD8 T,107.81523096129838,114.15730337078652,3
CD8 T,114.15730337078652,120.49937578027466,2
CD8 T,120.49937578027466,126.8414481897628,4
CD8 T,126.8414481897628,133.18352059925095,1
CD8 T,133.18352059925095,139.5255930087391,2
CD8 T,139.5255930087391,145.86766541822723,2
CD8 T,145.86766541822723,152.20973782771537,1
CD8 T,152.20973782771537,158.5518102372035,0
CD8 T,158.5518102372035,164.89388264669165,1
CD8 T,164.89388264669165,171.2359550561798,2
CD8 T,171.2359550561798,177.57802746566793,1
CD8 T,177.57802746566793,183.92009987515607,2
CD8 T,183.92009987515607,190.2621722846442,0
CD8 T,190.2621722846442,196.60424469413235,1
CD8 T,196.60424469413235,202.9463171036205,1
CD8 T,202.9463171036205,209.28838951310863,0
CD8 T,209.28838951310863,215.63046192259677,1
CD8 T,215.63046192259677,221.9725343320849,2
CD8 T,221.9725343320849,228.31460674157304,0
CD8 T,228.31460674157304,234.65667915106118,0
CD8 T,234.65667915106118,240.99875156054932,0
CD8 T,240.99875156054932,247.34082397003746,0
CD8 T,247.34082397003746,253.6828963795256,2
CD4 T,0.0,6.75,77
CD4 T,6.75,13.5,54
CD4 T,13.5,20.25,44
CD4 T,20.25,27.0,31
CD4 T,27.0,33.75,24
CD4 T,33.75,40.5,15
CD4 T,40.5,47.25,6
CD4 T,47.25,54.0,4
CD4 T,54.0,60.75,7
CD4 T,60.75,67.5,6
CD4 T,67.5,74.25,3
CD4 T,74.25,81.0,3
CD4 T,81.0,87.75,3
CD4 T,87.75,94.5,0
CD4 T,94.5,101.25,0
CD4 T,101.25,108.0,1
CD4 T,108.0,114.75,2
CD4 T,114.75,121.5,3
CD4 T,121.5,128.25,2
CD4 T,128.25,135.0,2
CD4 T,135.0,141.75,2
CD4 T,141.75,148.5,1
CD4 T,148.5,155.25,1
CD4 T,155.25,162.0,0
CD4 T,162.0,168.75,0
CD4 T,168.75,175.5,1
CD4 T,175.5,182.25,0
CD4 T,182.25,189.0,0
CD4 T,189.0,195.75,0
CD4 T,195.75,202.5,2
CD4 T,202.5,209.25,0
CD4 T,209.25,216.0,0
CD4 T,216.0,222.75,0
CD4 T,222.75,229.5,0
CD4 T,229.5,236.25,2
CD4 T,236.25,243.0,0
CD4 T,243.0,249.75,0
CD4 T,249.75,256.5,0
CD4 T,256.5,263.25,2
CD4 T,263.25,270.0,1
Treg,0.0,3.5250141000564,186
Treg,3.5250141000564,7.0500282001128,46
Treg,7.0500282001128,10.575042300169201,20
Treg,10.575042300169201,14.1000564002256,11
Treg,14.1000564002256,17.625070500282,7
Treg,17.625070500282,21.150084600338403,7
Treg,21.150084600338403,24.675098700394802,4
Treg,24.675098700394802,28.2001128004512,4
Treg,28.2001128004512,31.7251269005076,2
Treg,31.7251269005076,35.250141000564,0
Treg,35.250141000564,38.7751551006204,3
Treg,38.7751551006204,42.300169200676805,1
Treg,42.300169200676805,45.8251833007332,1
Treg,45.8251833007332,49.350197400789604,0
Treg,49.350197400789604,52.875211500846,0
Treg,52.875211500846,56.4002256009024,0
Treg,56.4002256009024,59.925239700958805,0
Treg,59.925239700958805,63.4502538010152,0
Treg,63.4502538010152,66.9752679010716,0
Treg,66.9752679010716,70.500282001128,1
Treg,70.500282001128,74.02529610118441,0
Treg,74.02529610118441,77.5503102012408,0
Treg,77.5503102012408,81.0753243012972,0
Treg,81.0753243012972,84.60033840135361,1
Treg,84.60033840135361,88.12535250141,0
Treg,88.12535250141,91.6503666014664,0
Treg,91.6503666014664,95.1753807015228,1
Treg,95.1753807015228,98.70039480157921,1
Treg,98.70039480157921,102.2254089016356,0
Treg,102.2254089016356,105.750423001692,0
Treg,105.750423001692,109.27543710174841,0
Treg,109.27543710174841,112.8004512018048,0
Treg,112.8004512018048,116.3254653018612,0
Treg,116.3254653018612,119.85047940191761,0
Treg,119.85047940191761,123.375493501974,1
Treg,123.375493501974,126.9005076020304,0
Treg,126.9005076020304,130.4255217020868,1
Treg,130.4255217020868,133.9505358021432,0
Treg,133.9505358021432,137.47554990219962,0
Treg,137.47554990219962,141.000564002256,1
B cell,0.0,8.233233233233232,188
B cell,8.233233233233232,16.466466466466464,37
B cell,16.466466466466464,24.699699699699696,17
B cell,24.699699699699696,32.93293293293293,13
B cell,32.93293293293293,41.166166166166164,5
B cell,41.166166166166164,49.39939939939939,9
B cell,49.39939939939939,57.63263263263262,7
B cell,57.63263263263262,65.86586586586586,4
B cell,65.86586586586586,74.09909909909909,4
B cell,74.09909909909909,82.33233233233233,1
B cell,82.33233233233233,90.56556556556555,3
B cell,90.56556556556555,98.79879879879879,4
B cell,98.79879879879879,107.03203203203202,0
B cell,107.03203203203202,115.26526526526524,0
B cell,115.26526526526524,123.49849849849848,1
B cell,123.49849849849848,131.7317317317317,1
B cell,131.7317317317317,139.96496496496493,0
B cell,139.96496496496493,148.19819819819818,1
B cell,148.19819819819818,156.4314314314314,0
B cell,156.4314314314314,164.66466466466466,0
B cell,164.66466466466466,172.89789789789788,1
B cell,172.89789789789788,181.1311311311311,0
B cell,181.1311311311311,189.36436436436435,0
B cell,189.36436436436435,197.59759759759757,0
B cell,197.59759759759757,205.8308308308308,0
B cell,205.8308308308308,214.06406406406404,0
B cell,214.06406406406404,222.29729729729726,0
