target,source,bin_left,bin_right,count
Endothelial,Endothelial,0.0,0.025,22863
Endothelial,Endothelial,0.025,0.05,16970
Endothelial,Endothelial,0.05,0.07500000000000001,17837
Endothelial,Endothelial,0.07500000000000001,0.1,15548
Endothelial,Endothelial,0.1,0.125,13018
Endothelial,Endothelial,0.125,0.15000000000000002,9956
Endothelial,Endothelial,0.15000000000000002,0.17500000000000002,7808
Endothelial,Endothelial,0.17500000000000002,0.2,6048
Endothelial,Endothelial,0.2,0.225,4503
Endothelial,Endothelial,0.225,0.25,3594
Endothelial,Endothelial,0.25,0.275,2871
Endothelial,Endothelial,0.275,0.30000000000000004,2357
Endothelial,Endothelial,0.30000000000000004,0.325,1951
Endothelial,Endothelial,0.325,0.35000000000000003,1776
Endothelial,Endothelial,0.35000000000000003,0.375,1488
Endothelial,Endothelial,0.375,0.4,1295
Endothelial,Endothelial,0.4,0.42500000000000004,1111
Endothelial,Endothelial,0.42500000000000004,0.45,1005
Endothelial,Endothelial,0.45,0.47500000000000003,901
Endothelial,Endothelial,0.47500000000000003,0.5,781
Endothelial,Endothelial,0.5,0.525,731
Endothelial,Endothelial,0.525,0.55,675
Endothelial,Endothelial,0.55,0.5750000000000001,605
Endothelial,Endothelial,0.5750000000000001,0.6000000000000001,497
Endothelial,Endothelial,0.6000000000000001,0.625,479
Endothelial,Endothelial,0.625,0.65,417
Endothelial,Endothelial,0.65,0.675,375
Endothelial,Endothelial,0.675,0.7000000000000001,334
Endothelial,Endothelial,0.7000000000000001,0.7250000000000001,316
Endothelial,Endothelial,0.7250000000000001,0.75,299
Endothelial,Endothelial,0.75,0.775,328
Endothelial,Endothelial,0.775,0.8,333
Endothelial,Endothelial,0.8,0.8250000000000001,303
Endothelial,Endothelial,0.8250000000000001,0.8500000000000001,334
Endothelial,Endothelial,0.8500000000000001,0.875,372
Endothelial,Endothelial,0.875,0.9,416
Endothelial,Endothelial,0.9,0.925,473
Endothelial,Endothelial,0.925,0.9500000000000001,577
Endothelial,Endothelial,0.9500000000000001,0.9750000000000001,647
Endothelial,Endothelial,0.9750000000000001,1.0,1453
Endothelial,Fibroblast,0.0,0.025,42527
Endothelial,Fibroblast,0.025,0.05,11930
Endothelial,Fibroblast,0.05,0.07500000000000001,10226
Endothelial,Fibroblast,0.07500000000000001,0.1,9362
Endothelial,Fibroblast,0.1,0.125,8515
Endothelial,Fibroblast,0.125,0.15000000000000002,7809
Endothelial,Fibroblast,0.15000000000000002,0.17500000000000002,7295
