,Endothelial,Fibroblast,Macrophage,CD8 T,CD4 T,Treg,B cell,NK,Monocyte,DC,Myeloid (other),Parenchyma,ambiguous
Endothelial,0.16263110310581075,0.1342143319648543,0.02327393473010378,0.009079702186107892,0.005211370646363949,0.0015517289909337897,0.0028705393380805194,0.0033697410501927387,0.011428871162843196,0.0019998575685054695,0.004392335568615991,0.6358244640547049,0.004152019632882747
Fibroblast,0.07689197218531948,0.2691718457339581,0.017516110186411436,0.010336697910098688,0.00640050524839894,0.0010431877183828895,0.002618636532434557,0.002313838996646209,0.00887536594627575,0.001851462820705187,0.0047799619420009955,0.5947367742030131,0.003463640576354628
Macrophage,0.06792545768360028,0.08979370060777803,0.10761609695263225,0.016868348728191308,0.011461672135640854,0.002287935121389561,0.006859731220928823,0.009774341783042475,0.03004225232079301,0.0053327422601614615,0.010246100959929935,0.6317982591462913,0.009993361079620684
CD8 T,0.07792065160489899,0.15483361213330937,0.049354192628789,0.06863209340757644,0.02180971416885704,0.005919698996846775,0.007720524364698898,0.006223663557129911,0.019349103382491108,0.004417140673325927,0.008558771817330543,0.5652991909715653,0.009961642293180726
CD4 T,0.0799927942499884,0.1712217870532998,0.06016322609319699,0.03934817389633146,0.055460858127960526,0.0070162624170767365,0.013155884686859392,0.0072796132195011186,0.02633678114270009,0.006906693146336733,0.01185704083596691,0.4989537263150245,0.022307158815757396
Treg,0.10055276717901358,0.12010940855183289,0.050240777541703835,0.045659323378884835,0.029542699166012775,0.07394258492464169,0.011055797826122052,0.012195741165508783,0.04818494715283792,0.0029844649726051193,0.008522683325306602,0.4598106306022422,0.03719817421328766
B cell,0.07772481831891807,0.12554659831768225,0.06358842282028536,0.02492840991378933,0.023032894104437887,0.0045237026440915346,0.06493214631091421,0.007448915247247678,0.042998689362161543,0.006838700269375503,0.023404581448778265,0.520113971503368,0.01491814973895045
NK,0.07768336759424124,0.09338199178477337,0.07690496411002253,0.016605033458004445,0.010829192556352861,0.00425186233173053,0.0063173708941878315,0.02810986166846099,0.03426519552929194,0.004644749402836182,0.009119186277374403,0.6266254624372194,0.011261761955504239
Monocyte,0.0653792353312295,0.08875284064622893,0.05894286140908104,0.012906276596080872,0.009805214748978617,0.00417808503385591,0.009122252697755871,0.008497369212688177,0.0642300600553648,0.004346025933678059,0.014458037642525751,0.6484487329628591,0.01093300772967344
DC,0.07521815055384047,0.12135142747268945,0.06834653591523193,0.019688077409620208,0.017049580865838868,0.0017703644583623248,0.00940612776910866,0.007555767926044957,0.028402049088480458,0.018190831185029177,0.01770767555963784,0.6061229886545547,0.009190423141561023
Myeloid (other),0.05976682191807537,0.11450473870102108,0.04780598544723643,0.01375853532984639,0.010558214938120947,0.001752879593691419,0.011581882374656795,0.005438491807898843,0.03432090899644745,0.006486823731274605,0.038156916898248565,0.6429238416289782,0.012943958634503866
Parenchyma,0.062274936355126834,0.10110921109071586,0.021266774808847085,0.006458110924507335,0.0031648037863211556,0.0006888482933633653,0.0018691175564562199,0.0026723729015185704,0.011109179271982853,0.0015833655092860647,0.004623453139459151,0.7805482061888812,0.0026316201735342827
ambiguous,0.08232368877984725,0.12042982625800422,0.06730637063258021,0.023214491157122208,0.028804491829580975,0.01114527895239486,0.010789948035077688,0.009720349797904976,0.03805860726469034,0.004783396318135536,0.018944434105757423,0.5334989064816064,0.050980210387297935
