target,source,n_target_cells,mean,median,q25,q75,frac_nonzero
Endothelial,Endothelial,143646,0.16263110310581075,0.09759689214164935,0.044722176416938014,0.18956806215549335,0.9183403529534616
Endothelial,Fibroblast,143646,0.1342143319648543,0.0938141462366037,0.012894803048759193,0.21424674972085825,0.7638414145984893
Endothelial,Macrophage,143646,0.02327393473010378,0.0018307189210280334,0.0,0.0272820294379347,0.36647986355250795
Endothelial,CD8 T,143646,0.009079702186107892,4.759588521599115e-06,0.0,0.0037149449090340698,0.185457203522573
Endothelial,CD4 T,143646,0.005211370646363949,0.0,0.0,0.00010552065022352466,0.10933899544014758
Endothelial,Treg,143646,0.0015517289909337897,0.0,0.0,0.0,0.03285878380730273
Endothelial,B cell,143646,0.0028705393380805194,0.0,0.0,0.0,0.05897873229141286
Endothelial,NK,143646,0.0033697410501927387,0.0,0.0,1.001393627381482e-05,0.08118625778829754
Endothelial,Monocyte,143646,0.011428871162843196,2.353991405341925e-05,0.0,0.007211305947998469,0.22619652615823732
Endothelial,DC,143646,0.0019998575685054695,0.0,0.0,0.0,0.051223502384350306
Endothelial,Myeloid (other),143646,0.004392335568615991,0.0,0.0,0.00012161112996652486,0.10003828883706359
Endothelial,Parenchyma,143646,0.6358244640547049,0.6826744868297232,0.505948573825734,0.8162647235628514,0.9739775140102336
Endothelial,ambiguous,143646,0.004152019632882747,0.0,0.0,8.262926102118266e-06,0.08609419053917644
Fibroblast,Endothelial,251645,0.07689197218531948,0.05792241192903391,0.023410470470578624,0.10481896478412867,0.85959530129866
Fibroblast,Fibroblast,251645,0.2691718457339581,0.24962408580738374,0.14994617001557728,0.36382377448916237,0.9773489532832096
Fibroblast,Macrophage,251645,0.017516110186411436,0.0007265168417087442,0.0,0.019026678641336885,0.31626027244837945
Fibroblast,CD8 T,251645,0.010336697910098688,2.4406311811735133e-05,0.0,0.005703241116605088,0.21035272050992673
Fibroblast,CD4 T,251645,0.00640050524839894,0.0,0.0,0.00024931728732630753,0.128316192716695
Fibroblast,Treg,251645,0.0010431877183828895,0.0,0.0,0.0,0.02401805725548791
Fibroblast,B cell,251645,0.002618636532434557,0.0,0.0,0.0,0.0557414442625296
Fibroblast,NK,251645,0.002313838996646209,0.0,0.0,0.0,0.05729522658994452
Fibroblast,Monocyte,251645,0.00887536594627575,4.78494830232496e-07,0.0,0.0033007605288168634,0.18199122569979811
Fibroblast,DC,251645,0.001851462820705187,0.0,0.0,0.0,0.04979653796633339
Fibroblast,Myeloid (other),251645,0.0047799619420009955,0.0,0.0,0.00012705231709483515,0.10530352402600499
Fibroblast,Parenchyma,251645,0.5947367742030131,0.6138594949118379,0.4792075917482391,0.7353119251118301,0.9928828026895138
Fibroblast,ambiguous,251645,0.003463640576354628,0.0,0.0,2.0732025646243137e-08,0.07650887762076584
Macrophage,Endothelial,49250,0.06792545768360028,0.04671816405809598,0.017095991481875468,0.08927717065259036,0.8247106598984771
Macrophage,Fibroblast,49250,0.08979370060777803,0.022503333695091506,0.00014968950921954852,0.1417791319186539,0.5685888324873096
Macrophage,Macrophage,49250,0.10761609695263225,0.0740204102205484,0.01882388598612728,0.15698458769360848,0.796
Macrophage,CD8 T,49250,0.016868348728191308,0.0001214078888252201,0.0,0.015084748640406702,0.2831269035532995
Macrophage,CD4 T,49250,0.011461672135640854,0.0,0.0,0.005834759052393217,0.21679187817258883
Macrophage,Treg,49250,0.002287935121389561,0.0,0.0,0.0,0.049725888324873097
Macrophage,B cell,49250,0.006859731220928823,0.0,0.0,0.0001847659227230244,0.13760406091370558
Macrophage,NK,49250,0.009774341783042475,1.6576958736724968e-07,0.0,0.005136385102346567,0.20747208121827412
Macrophage,Monocyte,49250,0.03004225232079301,0.008259267641357992,4.033838719176407e-05,0.04658898208053336,0.4821319796954315
Macrophage,DC,49250,0.0053327422601614615,0.0,0.0,0.0003866157170165412,0.12867005076142132
Macrophage,Myeloid (other),49250,0.010246100959929935,3.440584222880452e-05,0.0,0.008195297236192433,0.23530964467005075
Macrophage,Parenchyma,49250,0.6317982591462913,0.66733868663269,0.5100878503506108,0.7914708337104559,0.9808324873096447
Macrophage,ambiguous,49250,0.009993361079620684,0.0,0.0,0.0011455283347304936,0.17147208121827412
CD8 T,Endothelial,16977,0.07792065160489899,0.05266185070565521,0.019072996089795406,0.10221630510820431,0.8308888496200743
CD8 T,Fibroblast,16977,0.15483361213330937,0.11041248473920216,0.011547294189108433,0.2514126793181379,0.7569653060022383
CD8 T,Macrophage,16977,0.049354192628789,0.01374785685032752,0.00012486903970655505,0.06573746898923355,0.533839901042587
CD8 T,CD8 T,16977,0.06863209340757644,0.015299595831913732,0.00010764178178190916,0.07199371131154757,0.5361371267008306
CD8 T,CD4 T,16977,0.02180971416885704,3.5982190835557357e-07,0.0,0.018394270922117463,0.28998056193673794
CD8 T,Treg,16977,0.005919698996846775,0.0,0.0,0.0,0.0763385757200919
CD8 T,B cell,16977,0.007720524364698898,0.0,0.0,1.8962756275437693e-05,0.11963244389468104
CD8 T,NK,16977,0.006223663557129911,0.0,0.0,0.00022763014495760163,0.12799670141956765
CD8 T,Monocyte,16977,0.019349103382491108,0.0005811964968271406,0.0,0.022809552219462716,0.3292690110149025
CD8 T,DC,16977,0.004417140673325927,0.0,0.0,7.667509751322936e-06,0.09942863874653944
CD8 T,Myeloid (other),16977,0.008558771817330543,0.0,0.0,0.002285477800924074,0.1817753431112682
CD8 T,Parenchyma,16977,0.5652991909715653,0.6118697806047804,0.39189995191404875,0.7746212908098025,0.9610060670318666
CD8 T,ambiguous,16977,0.009961642293180726,0.0,0.0,0.0008436807656621207,0.16504682806149495
CD4 T,Endothelial,9481,0.0799927942499884,0.054910698474318224,0.020638577151837454,0.10529881171817788,0.839257462293007
CD4 T,Fibroblast,9481,0.1712217870532998,0.11883745677183041,0.006998610753892468,0.28761860721743143,0.7353654677776605
CD4 T,Macrophage,9481,0.06016322609319699,0.02123217270663341,0.00018015845298276632,0.08422292387303389,0.5728298702668495
CD4 T,CD8 T,9481,0.03934817389633146,0.003990777252911887,0.0,0.049123368171560614,0.44035439299651935
CD4 T,CD4 T,9481,0.055460858127960526,0.01726652184903166,1.4112056260375749e-05,0.07489707177859635,0.5412931125408712
CD4 T,Treg,9481,0.0070162624170767365,0.0,0.0,0.0,0.11138065604893999
CD4 T,B cell,9481,0.013155884686859392,0.0,0.0,0.0013035114359136275,0.18225925535281087
CD4 T,NK,9481,0.0072796132195011186,0.0,0.0,0.0008457577543720753,0.15019512709629787
CD4 T,Monocyte,9481,0.02633678114270009,0.0021021761116620423,0.0,0.0357038072221926,0.3933129416728193
CD4 T,DC,9481,0.006906693146336733,0.0,0.0,0.0007732025236409219,0.14829659318637275
CD4 T,Myeloid (other),9481,0.01185704083596691,1.095468351100106e-05,0.0,0.00852819415954442,0.23805505748338782
CD4 T,Parenchyma,9481,0.4989537263150245,0.5180228238525519,0.3243647602572722,0.688831326885918,0.9737369475793692
CD4 T,ambiguous,9481,0.022307158815757396,0.00010310793916194232,0.0,0.022557097469074094,0.3149456808353549
Treg,Endothelial,2222,0.10055276717901358,0.06121799424329297,0.022549092089610458,0.1241592103098196,0.8420342034203421
Treg,Fibroblast,2222,0.12010940855183289,0.07491597482793916,0.007321730041848281,0.1920689616825812,0.734023402340234
Treg,Macrophage,2222,0.050240777541703835,0.007140458499083834,2.2057675475582927e-05,0.052796432589330464,0.47029702970297027
Treg,CD8 T,2222,0.045659323378884835,0.0015521049927487611,0.0,0.04351324821864728,0.39603960396039606
Treg,CD4 T,2222,0.029542699166012775,0.002257330366889334,0.0,0.04113388024834378,0.4072907290729073
Treg,Treg,2222,0.07394258492464169,0.010363809807277281,0.0,0.08031707258630827,0.5013501350135013
Treg,B cell,2222,0.011055797826122052,0.0,0.0,0.00386591388168606,0.20387038703870386
Treg,NK,2222,0.012195741165508783,0.0,0.0,0.0069297241799254755,0.2304230423042304
Treg,Monocyte,2222,0.04818494715283792,0.006713899832151945,0.0,0.0601116578844864,0.47074707470747074
Treg,DC,2222,0.0029844649726051193,0.0,0.0,0.0,0.07155715571557156
Treg,Myeloid (other),2222,0.008522683325306602,0.0,0.0,0.001721044112699127,0.16336633663366337
