Step,prolif.CD8.cytotoxic,recruit.CD8.effector,prolif.Th.default,recruit.Th.default,prolif.Treg.default
0,0,0,3017,0,0
1,0,0,2255,0,8
2,0,0,2148,0,16
3,0,0,2245,0,37
4,0,0,2289,0,64
5,0,1,2242,0,132
6,0,2,2279,0,197
7,0,1,2426,0,299
8,0,4,2456,0,413
9,0,7,1300,0,583
10,0,7,5813,0,835
11,0,6,4296,0,1041
12,0,20,4068,0,1328
13,0,13,4307,0,1590
14,1,12,4361,0,1945
15,1,16,4279,1,2191
16,1,20,4354,0,2441
17,2,21,4638,0,2636
18,0,29,4615,0,2827
19,2,29,2565,0,2840
20,5,20,10935,0,2923
21,5,36,8120,0,2851
22,1,47,7739,0,2817
