step,total_ms,pde_ms,qsp_ms,abm_ms
0,18594.1,2979.54,129.264,15485.3
1,61836.2,2943.88,12.2851,58880
2,62668,2941.99,10.0356,59716
3,103287,3622.15,10.8316,99653.5
4,67703,2940.75,19.6194,64742.6
5,107627,2940.39,13.6608,104673
6,67623.6,2962.74,11.0949,64649.8
7,107954,2975.26,11.3417,104967
8,73005.2,2931.33,21.2752,70052.6
9,114001,3047.92,13.3275,110939
10,72869.2,2964.89,11.7185,69892.6
11,113780,2950.23,13.5444,110816
12,72508,2954.3,17.8714,69535.8
13,113986,2948.3,15.6056,111022
14,73984.5,2963.88,14.8391,71005.8
15,115048,2951.99,15.8432,112081
16,74334.2,2952.72,19.0804,71362.4
17,115255,2956.38,12.7931,112286
18,74267.7,3131.31,14.0529,71122.3
19,115669,2949.23,16.4526,112704
20,74778.7,2947.01,19.8288,71811.9
21,116731,2950.23,15.3902,113766
22,75470.3,2948.71,15.4787,72506.2
