step,total_ms,pde_ms,qsp_ms,abm_ms
0,716.137,82.5276,129.89,503.72
1,953.16,80.8209,12.1414,860.198
2,690.015,81.0667,10.3875,598.561
3,761.53,79.5715,11.7987,670.16
4,693.263,79.9273,20.7476,592.589
5,726.728,79.4838,9.46307,637.781
6,741.967,79.9451,8.79527,653.226
7,637.304,79.7518,15.3206,542.232
8,766.713,79.7222,21.7749,665.216
9,773.562,79.8404,14.5595,679.163
10,782.671,79.8859,16.029,686.756
11,781.672,79.7691,14.1638,687.739
12,810.685,83.7186,19.3966,707.57
13,743.818,80.086,14.9032,648.829
14,754.855,79.0447,14.6252,661.186
15,743.909,79.4208,13.1928,651.295
16,790.001,79.0106,19.3809,691.61
17,849.475,78.6227,15.2342,755.618
18,832.759,80.0863,14.6583,738.014
19,918.202,79.8101,15.6414,822.751
20,994.616,80.1589,19.1144,895.343
21,985.712,79.1473,14.7941,891.771
22,937.712,79.7633,14.473,843.475
